Name,ra,dec,CatalogName
1eRASS J000053.4-443932,0.22,-44.65938,
1eRASS J000215.4-672652,0.56,-67.44796,3HSPJ000215.2-672653
1eRASS J003405.1-702554,8.52,-70.43096,
1eRASS J005140.5-600451,12.92,-60.08097,
1eRASS J005252.0-473725,13.22,-47.62406,
1eRASS J005806.0-460419,14.53,-46.07194,1FLAT J005806.2-460418
1eRASS J010333.9-643908,15.89,-64.65198,5BZUJ0103-6439
1eRASS J010546.6-343145,16.44,-34.52976,
1eRASS J011540.5-624924,18.92,-62.82334,
1eRASS J011751.5-545516,19.46,-54.92216,
1eRASS J013654.2-350950,24.23,-35.16455,
1eRASS J014753.9-602811,26.97,-60.46985,3HSPJ014753.7-602812
1eRASS J015019.1-532234,27.58,-53.37591,
J020012.0-305326,30.05,-30.89123,PKS0157-31
J020121.6-225927,30.34,-22.99006,3HSPJ020121.8-225925
1eRASS J020639.1-714819,31.66,-71.80482,
1eRASS J020840.8-303037,32.17,-30.51014,
1eRASS J021359.0-695135,33.49,-69.86018,3HSPJ021358.7-695137
J021411.6-353740,33.55,-35.62603,3HSPJ021411.1-353733
1eRASS J021439.4-433330,33.66,-43.55832,3HSPJ021439.5-433329
J024838.6-132227,42.16,-13.37462,J024838-132228
J030246.3-192426,45.69,-19.407,3HSPJ030246.3-192425
1eRASS J030456.1-355654,46.23,-35.94883,
J030515.1-160816,46.31,-16.13794,3HSPJ030515.1-160816
1eRASS J031010.7-573040,47.54,-57.51152,
1eRASS J032009.0-704533,50.04,-70.75944,3HSPJ032009.2-704534
1eRASS J032208.2-520533,50.53,-52.09298,5BZQJ0322-5205
1eRASS J032802.9-622532,52.01,-62.42529,
1eRASS J033549.8-471558,53.96,-47.26635,
1eRASS J033930.3-175758,54.88,-17.96617,
J035432.7-134008,58.64,-13.66883,PGC934826
J035618.9-392141,59.08,-39.36139,N.A.
1eRASS J035725.9-031756,59.36,-3.30001,3HSPJ035726.1-031759
1eRASS J035859.2-180422,59.75,-18.07257,
1eRASS J040322.0-630539,60.84,-63.09444,
1eRASS J040501.4-371115,61.26,-37.18776,
1eRASS J041112.3-394143,62.8,-39.69536,3HSPJ041112.4-394143
1eRASS J041328.1-061500,63.37,-6.25033,
1eRASS J041518.4-074029,63.83,-7.67666,
1eRASS J041731.9-131027,64.38,-13.17474,
1eRASS J043054.9-213118,67.73,-21.52208,
J043902.2+052039,69.76,5.34547,5BZG J0439+0520
J044656.5-030512,71.74,-3.08672,NPM1G-03.0212
J044929.5-285955,72.37,-28.99822,J044929-285953
J045141.4-034834,72.92,-3.80892,MCG-1-13-025
1eRASS J050218.1-422136,75.58,-42.36029,
1eRASS J050242.2+150630,75.68,15.10812,LAMOSTJ050242.06+150630.1
J051103.6-255450,77.77,-25.91361,J051103-255448
1eRASS J053430.9-601616,83.63,-60.27089,
1eRASS J054641.6-641522,86.67,-64.25621,5BZQJ0546-6415
J055711.7-372839,89.3,-37.47758,J055712-372837
1eRASS J055947.3-502651,89.95,-50.44781,
